Results_Name,VSPAERO_History
Results_Timestamp,1750449592
Results_Date,6,20,2025
Results_Time,15,59,52
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01
CDi,1.346209765600000011e-02,1.694404238599999876e-02,1.884949924300000079e-02,1.416991258499999962e-02,1.736869073399999880e-02
CDo,1.266412865100000062e-02,1.299933394100000021e-02,1.312048547000000016e-02,1.311454579600000031e-02,1.312093472900000002e-02
CDt,1.641288211900000099e-02,1.720723203900000053e-02,1.915113674100000010e-02,1.789119696500000162e-02,2.016749073899999981e-02
CDtot,2.612622630700000073e-02,2.994337632700000071e-02,3.196998471299999922e-02,2.728445838199999862e-02,3.048962546299999882e-02
CDtott,2.907701077000000162e-02,3.020656597999999901e-02,3.227162221000000331e-02,3.100574276099999846e-02,3.328842546699999766e-02
CFx,2.071051074500000061e-02,2.528612202900000147e-02,2.542998992700000113e-02,2.137597830399999912e-02,2.422029371399999839e-02
CFxi,8.202812550999999397e-03,1.245598055199999971e-02,1.244127828099999937e-02,8.423330849000000217e-03,1.124915767999999996e-02
CFxo,1.250769819499999991e-02,1.283014147700000003e-02,1.298871164600000003e-02,1.295264745500000064e-02,1.297113603500000059e-02
CFy,3.299979782799999928e-02,2.903230760600000043e-02,3.988716476299999925e-02,3.589573644400000096e-02,3.822264374900000150e-02
CFyi,3.100466893400000146e-02,2.693547510499999867e-02,3.799194453199999932e-02,3.383019124100000025e-02,3.622516009300000284e-02
CFyo,1.995128893999999990e-03,2.096832501000000029e-03,1.895220229999999926e-03,2.065545202999999851e-03,1.997483655999999965e-03
CFz,6.242325316250000311e-01,6.595005450019999493e-01,6.517001675669999994e-01,6.710319907230000158e-01,6.789478158589999923e-01
CFzi,6.242207462529999473e-01,6.594856927850000217e-01,6.517332505370000417e-01,6.711367188879999723e-01,6.790417482480000100e-01
CFzo,1.178537200000000077e-05,1.485221699999999970e-05,-3.308296899999999669e-05,-1.047281649999999955e-04,-9.393238899999999862e-05
CL,6.242325316250000311e-01,6.595005450019999493e-01,6.517001675669999994e-01,6.710319907230000158e-01,6.789478158589999923e-01
CLi,6.242207462529999473e-01,6.594856927850000217e-01,6.517332505370000417e-01,6.711367188879999723e-01,6.790417482480000100e-01
CLo,1.178537200000000077e-05,1.485221699999999970e-05,-3.308296899999999669e-05,-1.047281649999999955e-04,-9.393238899999999862e-05
CMx,4.352972913999999909e-03,-4.353581270999999815e-03,-6.178961069999999896e-03,-6.643090023000000274e-03,-7.064307249000000011e-03
CMxi,4.383433344000000308e-03,-4.328247696999999727e-03,-6.153117540999999621e-03,-6.614018555999999667e-03,-7.037777811999999626e-03
CMxo,-3.046042999999999933e-05,-2.533357399999999971e-05,-2.584352900000000015e-05,-2.907146700000000082e-05,-2.652943699999999833e-05
CMy,-2.908244671510000212e-01,-1.839928956849999908e-01,-1.565034247550000090e-01,-2.329101584490000099e-01,-2.348691164239999907e-01
CMyi,-2.939064361889999755e-01,-1.870807410679999894e-01,-1.597545716090000012e-01,-2.364185696130000069e-01,-2.383329206279999890e-01
CMyo,3.081969037999999789e-03,3.087845382999999857e-03,3.251146853999999954e-03,3.508411164000000120e-03,3.463804205000000063e-03
CMz,4.374266735000000017e-03,-4.512820732999999959e-03,3.215717049999999898e-04,1.852343165999999989e-03,1.715384062000000105e-03
CMzi,4.322872985999999702e-03,-4.637733255000000068e-03,2.507293679999999842e-04,1.721277717999999957e-03,1.601552055000000007e-03
CMzo,5.139374900000000300e-05,1.249125210000000047e-04,7.084233700000000565e-05,1.310654480000000052e-04,1.138320070000000030e-04
CS,2.890211429900000142e-02,2.420035260700000024e-02,3.486531769500000183e-02,3.163849987200000047e-02,3.343614603899999760e-02
CSi,2.910923489499999892e-02,2.436330639100000098e-02,3.525435622599999708e-02,3.185353856900000058e-02,3.372142278299999907e-02
CSo,-2.071205960000000129e-04,-1.629537830000000120e-04,-3.890385310000000173e-04,-2.150386970000000035e-04,-2.852767440000000061e-04
E,7.428711833059999936e-01,6.587848129450000201e-01,5.783487372550000227e-01,8.158394112360000117e-01,6.813585678200000384e-01
FC_AoA_,0.000000000000000000e+00
FC_Beta_,-1.000000000000000000e+01
FC_Bref_,1.417173599999999922e+01
FC_Cref_,1.193975999999999926e+00
FC_Mach_,1.499999999999999944e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,3.870000000000000000e+06
FC_Rho_,2.377000000000000206e-03
