Results_Name,VSPAERO_History
Results_Timestamp,1758650170
Results_Date,9,23,2025
Results_Time,13,56,10
Alpha,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,4.032884063099999999e-02,3.927058987100000287e-02,3.952114623999999909e-02,3.996069042400000187e-02,4.027002326000000271e-02
CDo,1.229708736299999980e-02,1.251499503100000042e-02,1.263424360600000004e-02,1.270964628400000039e-02,1.274730594299999971e-02
CDt,4.421991159000000088e-02,4.130465653100000301e-02,4.029939927099999986e-02,4.046596142799999823e-02,4.256365456499999755e-02
CDtot,5.262592799400000326e-02,5.178558490199999809e-02,5.215538984700000130e-02,5.267033670799999706e-02,5.301732920300000068e-02
CDtott,5.651699895299999721e-02,5.381965156199999822e-02,5.293364287700000337e-02,5.317560771299999905e-02,5.531096050800000247e-02
CFx,9.702002680700000381e-02,1.019099133209999952e-01,1.035891121379999974e-01,1.046501047830000058e-01,1.053139730569999932e-01
CFxi,8.471279006699999892e-02,8.939157741200000340e-02,9.095439920999999484e-02,9.194118019800000263e-02,9.256797472899999657e-02
CFxo,1.230723673999999969e-02,1.251833590900000050e-02,1.263471292800000083e-02,1.270892458499999975e-02,1.274599832800000013e-02
CFy,3.283124320000000134e-03,2.197371939999999977e-04,3.710246209999999755e-04,4.210863689999999756e-04,3.560796600000000229e-05
CFyi,3.289329030000000004e-03,2.175762990000000032e-04,3.731074959999999873e-04,4.224464820000000125e-04,3.582172900000000229e-05
CFyo,-6.204709999999999925e-06,2.160895999999999817e-06,-2.082874999999999942e-06,-1.360113000000000051e-06,-2.137630000000000064e-07
CFz,2.471672733920000087e-01,2.797385408690000186e-01,2.871321287949999967e-01,2.901838563010000205e-01,2.919505902399999742e-01
CFzi,2.481855691519999907e-01,2.808145139950000146e-01,2.882348202289999883e-01,2.912998992310000257e-01,2.930732508539999892e-01
CFzo,-1.018295760000000006e-03,-1.075973125999999964e-03,-1.102691434000000045e-03,-1.116042930000000002e-03,-1.122660613000000087e-03
CL,2.602595979790000014e-01,2.931851545990000196e-01,3.007580071250000042e-01,3.039476114720000011e-01,3.058027842689999831e-01
