Results_Name,VSPAERO_History
Results_Timestamp,1758043907
Results_Date,9,16,2025
Results_Time,13,31,47
Alpha,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,5.053592980000000401e-03,6.207397879999999868e-03,6.228580117999999582e-03,6.254549402000000001e-03,6.278145643999999762e-03
CDo,9.364401772000000013e-03,9.520119017999999558e-03,9.524310646999999824e-03,9.527337397999999583e-03,9.528535314999999478e-03
CDt,4.920865846000000050e-03,5.989557086999999606e-03,5.901240936000000034e-03,5.960604522999999634e-03,6.195869940000000263e-03
CDtot,1.441799475099999998e-02,1.572751689899999986e-02,1.575289076400000071e-02,1.578188679999999872e-02,1.580668095900000097e-02
CDtott,1.428526761799999920e-02,1.550967610500000003e-02,1.542555158299999986e-02,1.548794192200000051e-02,1.572440525500000061e-02
CFx,1.955805411399999874e-02,2.591494429499999891e-02,2.592986484500000091e-02,2.590049240400000077e-02,2.590543142200000051e-02
CFxi,1.015906594100000025e-02,1.636079417499999855e-02,1.637167923999999913e-02,1.633929135800000002e-02,1.634293807899999881e-02
CFxo,9.398988173000000224e-03,9.554150120000000357e-03,9.558185605000000043e-03,9.561201046000000758e-03,9.562493342999999965e-03
CFy,-2.532422995999999808e-03,1.526674699999999927e-05,1.844246700000000145e-05,-8.208476999999999844e-06,4.589317399999999849e-05
CFyi,-2.543425798000000047e-03,1.491221299999999986e-05,1.851139499999999999e-05,-8.312503000000000329e-06,4.609543200000000004e-05
CFyo,1.100280199999999956e-05,3.545339999999999902e-07,-6.892700000000000569e-08,1.040269999999999957e-07,-2.022580000000000102e-07
CFz,5.812164411000000225e-02,1.157561497520000066e-01,1.156355599610000007e-01,1.149671392219999977e-01,1.147391113910000010e-01
CFzi,5.813517834500000342e-02,1.157828298579999943e-01,1.156642078009999935e-01,1.149960484839999963e-01,1.147669941880000016e-01
CFzo,-1.353423600000000009e-05,-2.668010499999999923e-05,-2.864783999999999980e-05,-2.890926200000000057e-05,-2.788279699999999853e-05
CL,5.960507043899999913e-02,1.175742988729999994e-01,1.174554683740000049e-01,1.167870312009999939e-01,1.165603015479999977e-01
CLi,5.879937737799999925e-02,1.167681784029999947e-01,1.166509564349999944e-01,1.159825168749999968e-01,1.157546520330000051e-01
CLo,8.056930609999999856e-04,8.061204699999999787e-04,8.045119399999999801e-04,8.045143249999999911e-04,8.056495149999999723e-04
CMx,7.841390951999999831e-03,2.057907409999999867e-04,8.510212599999999734e-05,6.533112800000000534e-05,3.529102699999999858e-05
CMxi,7.844360353000000632e-03,2.059628630000000119e-04,8.516076400000000110e-05,6.537455500000000617e-05,3.531806399999999803e-05
CMxo,-2.969401000000000134e-06,-1.721220000000000109e-07,-5.863799999999999872e-08,-4.342700000000000234e-08,-2.703699999999999918e-08
CMy,-1.081868537170000005e-01,-1.321616585110000075e-01,-1.289588033129999978e-01,-1.270948892050000056e-01,-1.264135735330000065e-01
CMyi,-1.105278066890000022e-01,-1.345252458960000119e-01,-1.313262373330000010e-01,-1.294635961839999960e-01,-1.287789586920000118e-01
CMyo,2.340952971999999896e-03,2.363587385000000089e-03,2.367434020000000212e-03,2.368706978999999928e-03,2.365385159000000029e-03
CMz,-1.173854767999999967e-03,4.024395199999999826e-05,1.025105999999999973e-05,-1.811800000000000117e-07,1.358014899999999967e-05
CMzi,-1.156403803999999898e-03,4.101467900000000142e-05,1.064883300000000071e-05,2.876699999999999879e-08,1.378038799999999990e-05
CMzo,-1.745096400000000099e-05,-7.707269999999999901e-07,-3.977730000000000242e-07,-2.099469999999999939e-07,-2.002389999999999973e-07
CS,-2.532422995999999808e-03,1.526674699999999927e-05,1.844246700000000145e-05,-8.208476999999999844e-06,4.589317399999999849e-05
CSi,-2.543425798000000047e-03,1.491221299999999986e-05,1.851139499999999999e-05,-8.312503000000000329e-06,4.609543200000000004e-05
CSo,1.100280199999999956e-05,3.545339999999999902e-07,-6.892700000000000569e-08,1.040269999999999957e-07,-2.022580000000000102e-07
E,1.755880863799999872e-02,5.637535353599999743e-02,5.607088416299999684e-02,5.519997514399999777e-02,5.477663792200000020e-02
FC_AoA_,-5.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.417173599999999922e+01
FC_Cref_,1.193991999999999942e+00
FC_Mach_,1.499999999999999944e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,3.870000000000000000e+06
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.619368700000000061e+01
FC_Vinf_,5.100000000000000000e+01
FC_Xcg_,1.774861999999999940e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,7.545150000000000468e-01
L/D,4.078193839902000128e+00,7.424450989548000202e+00,7.405050804863999581e+00,7.349090659546999582e+00,7.323147239549999910e+00
Mach,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History
Results_Timestamp,1758043907
Results_Date,9,16,2025
Results_Time,13,31,47
Alpha,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,5.173315302000000039e-03,6.379775005000000269e-03,6.332005798999999768e-03,6.325252429999999974e-03,6.346421088000000175e-03
CDo,9.566556490999999704e-03,9.812105329000000639e-03,9.811462413000000479e-03,9.813949162000000850e-03,9.815984847999999902e-03
CDt,5.146435910999999815e-03,6.351820456000000122e-03,6.216494525999999993e-03,6.199970877000000359e-03,6.387812504999999808e-03
CDtot,1.473987179300000061e-02,1.619188033400000004e-02,1.614346821199999851e-02,1.613920159199999996e-02,1.616240593699999964e-02
CDtott,1.471299240200000039e-02,1.616392578600000032e-02,1.602795693899999874e-02,1.601392003799999991e-02,1.620379735399999840e-02
CFx,2.469465048000000010e-02,3.102638650799999925e-02,3.092089729299999853e-02,3.086494428599999978e-02,3.086913467200000025e-02
CFxi,1.510508584599999996e-02,2.119184609800000077e-02,2.108706870599999852e-02,2.102859853399999951e-02,2.103072839299999913e-02
