Results_Name,VSPAERO_History
Results_Timestamp,1749700088
Results_Date,6,11,2025
Results_Time,23,48,8
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.374230365899999952e-02,1.506052691199999925e-02,1.515986684099999982e-02,1.508756277400000005e-02,1.548051038299999918e-02
CDo,1.298619039899999959e-02,1.346171432900000048e-02,1.351028055600000076e-02,1.353449039999999985e-02,1.354499016200000003e-02
CDt,1.119621331399999961e-02,1.426960100399999980e-02,1.338822059600000038e-02,1.339561103000000072e-02,1.361623096100000006e-02
CDtot,2.672849405799999911e-02,2.852224124200000016e-02,2.867014739699999884e-02,2.862205317399999990e-02,2.902550054499999921e-02
CDtott,2.418240371300000094e-02,2.773131533299999854e-02,2.689850115200000114e-02,2.693010142999999884e-02,2.716122112400000052e-02
CFx,2.672849405799999911e-02,2.852224124200000016e-02,2.867014739699999884e-02,2.862205317399999990e-02,2.902550054499999921e-02
CFxi,1.374230365899999952e-02,1.506052691199999925e-02,1.515986684099999982e-02,1.508756277400000005e-02,1.548051038299999918e-02
CFxo,1.298619039899999959e-02,1.346171432900000048e-02,1.351028055600000076e-02,1.353449039999999985e-02,1.354499016200000003e-02
CFy,-4.575859879999999999e-04,-1.908129729999999901e-04,-1.629026829999999880e-04,-1.221882629999999957e-04,-7.775250599999999435e-05
CFyi,-4.486598680000000164e-04,-1.905522589999999962e-04,-1.627049580000000000e-04,-1.226671120000000096e-04,-7.817882200000000458e-05
CFyo,-8.926120000000000522e-06,-2.607140000000000143e-07,-1.977250000000000053e-07,4.788489999999999490e-07,4.263169999999999918e-07
CFz,5.996535193099999939e-01,6.613047301740000439e-01,6.603530252510000365e-01,6.610932287640000071e-01,6.614645945639999747e-01
CFzi,5.995455581830000380e-01,6.612506645779999692e-01,6.603052878649999791e-01,6.610521479199999995e-01,6.614162282909999968e-01
CFzo,1.079611269999999993e-04,5.406559699999999796e-05,4.773738699999999913e-05,4.108084400000000183e-05,4.836627400000000028e-05
CL,5.996535193099999939e-01,6.613047301740000439e-01,6.603530252510000365e-01,6.610932287640000071e-01,6.614645945639999747e-01
CLi,5.995455581830000380e-01,6.612506645779999692e-01,6.603052878649999791e-01,6.610521479199999995e-01,6.614162282909999968e-01
CLo,1.079611269999999993e-04,5.406559699999999796e-05,4.773738699999999913e-05,4.108084400000000183e-05,4.836627400000000028e-05
CMx,1.304743991200000078e-02,1.217659777999999986e-03,9.476710700000000190e-04,7.711927339999999657e-04,6.363110680000000265e-04
CMxi,1.305436371300000044e-02,1.218416295000000066e-03,9.482499229999999651e-04,7.716977359999999944e-04,6.367844140000000199e-04
CMxo,-6.923799999999999676e-06,-7.565170000000000237e-07,-5.788529999999999490e-07,-5.050019999999999847e-07,-4.733450000000000077e-07
CMy,-7.694257542799999572e-02,-1.180439250049999944e-01,-1.070274849720000004e-01,-1.025624514209999977e-01,-1.012326983610000036e-01
CMyi,-7.964148012199999405e-02,-1.209494068740000067e-01,-1.099564800710000068e-01,-1.055137729019999943e-01,-1.041560457249999933e-01
CMyo,2.698904694000000062e-03,2.905481869000000120e-03,2.928995098999999814e-03,2.951321481000000052e-03,2.923347364000000032e-03
CMz,2.124336000000000120e-05,-3.973753300000000056e-05,-3.958115799999999818e-05,-2.827439299999999904e-05,-1.782276499999999909e-05
CMzi,1.276709970000000031e-04,-2.988751900000000003e-05,-3.180380700000000116e-05,-2.209395100000000154e-05,-1.264482700000000015e-05
CMzo,-1.064276370000000053e-04,-9.850014000000000523e-06,-7.777351000000000408e-06,-6.180443000000000281e-06,-5.177937999999999789e-06
CS,-4.575859879999999999e-04,-1.908129729999999901e-04,-1.629026829999999880e-04,-1.221882629999999957e-04,-7.775250599999999435e-05
CSi,-4.486598680000000164e-04,-1.905522589999999962e-04,-1.627049580000000000e-04,-1.226671120000000096e-04,-7.817882200000000458e-05
CSo,-8.926120000000000522e-06,-2.607140000000000143e-07,-1.977250000000000053e-07,4.788489999999999490e-07,4.263169999999999918e-07
E,6.713278904210000508e-01,7.451469499089999893e-01,7.381489653710000542e-01,7.433651602419999449e-01,7.252943083220000364e-01
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.417173599999999922e+01
FC_Cref_,1.193975999999999926e+00
FC_Mach_,1.499999999999999944e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,3.870000000000000000e+06
