Results_Name,VSPAERO_History
Results_Timestamp,1749672324
Results_Date,6,11,2025
Results_Time,16,5,24
Alpha,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,6.363427405999999738e-03,7.047379541000000323e-03,6.404371076999999975e-03,6.381063596000000407e-03,6.513007646000000365e-03
CDo,1.024222370300000018e-02,1.043013768200000066e-02,1.037963070799999971e-02,1.042779967900000007e-02,1.047654254799999969e-02
CDt,1.092582589099999960e-02,9.641009234999999358e-03,6.968619506999999824e-03,7.410930195000000123e-03,1.077062232600000009e-02
CDtot,1.660565110899999905e-02,1.747751722299999838e-02,1.678400178499999881e-02,1.680886327499999874e-02,1.698955019399999919e-02
CDtott,2.116804959399999977e-02,2.007114691699999828e-02,1.734825021400000084e-02,1.783872987399999846e-02,2.124716487300000109e-02
CFx,2.839810616199999957e-02,3.328338413600000212e-02,3.319399993299999851e-02,3.283133708100000048e-02,3.268808767999999837e-02
CFxi,1.811266042200000009e-02,2.281180864099999900e-02,2.277413907800000109e-02,2.236368017800000052e-02,2.217106863799999869e-02
CFxo,1.028544573999999948e-02,1.047157549499999965e-02,1.041986085499999916e-02,1.046765690199999953e-02,1.051701904099999925e-02
CFy,1.965028621999999857e-03,-1.721210760000000089e-04,3.168524389999999888e-04,-4.164503399999999820e-05,1.188208240000000049e-04
CFyi,1.985291808999999942e-03,-1.745094799999999987e-04,3.183101869999999914e-04,-4.243003699999999987e-05,1.196642069999999977e-04
CFyo,-2.026318700000000051e-05,2.388403999999999977e-06,-1.457748000000000091e-06,7.850029999999999785e-07,-8.433830000000000023e-07
CFz,1.340633596570000030e-01,1.798988006189999878e-01,1.868343317829999906e-01,1.824038228000000039e-01,1.786933247609999997e-01
CFzi,1.340165146489999959e-01,1.798805538930000059e-01,1.868276835550000126e-01,1.824035402159999986e-01,1.786880920470000078e-01
CFzo,4.684500799999999810e-05,1.824672600000000044e-05,6.648229000000000311e-06,2.825830000000000099e-07,5.232713999999999855e-06
CL,1.360282661339999866e-01,1.821150694349999988e-01,1.890164184629999911e-01,1.845711607530000076e-01,1.808622972720000111e-01
CLi,1.350851637219999957e-01,1.811842342040000109e-01,1.881016448210000025e-01,1.836585628329999997e-01,1.799404658640000043e-01
CLo,9.431024110000000085e-04,9.308352310000000268e-04,9.147736419999999468e-04,9.125979200000000277e-04,9.218314080000000136e-04
CMx,7.065941243999999954e-03,1.122125281000000037e-03,9.625445069999999988e-04,8.163899050000000086e-04,5.133922080000000296e-04
CMxi,7.070703355000000113e-03,1.122495533000000085e-03,9.628580240000000423e-04,8.167876760000000345e-04,5.137059550000000214e-04
CMxo,-4.762110999999999780e-06,-3.702520000000000255e-07,-3.135160000000000130e-07,-3.977710000000000220e-07,-3.137469999999999837e-07
CMy,6.375772404900000023e-02,3.957854031900000236e-02,1.836034490900000093e-02,3.666719250000000097e-02,5.210088753699999853e-02
CMyi,6.170569735800000150e-02,3.744356895999999962e-02,1.617918391299999828e-02,3.446728806399999845e-02,4.992433730000000319e-02
CMyo,2.052026691000000038e-03,2.134971359000000131e-03,2.181160995000000057e-03,2.199904435999999915e-03,2.176550236000000110e-03
CMz,3.549063230000000036e-04,-1.114047519999999963e-04,3.607100099999999674e-05,-5.516135399999999757e-05,-1.064342000000000016e-06
CMzi,3.854880540000000209e-04,-1.096602920000000025e-04,3.918220999999999971e-05,-5.350964200000000168e-05,5.248579999999999476e-07
CMzo,-3.058173099999999704e-05,-1.744459999999999939e-06,-3.111209999999999813e-06,-1.651711999999999908e-06,-1.589199999999999963e-06
CS,1.965028621999999857e-03,-1.721210760000000089e-04,3.168524389999999888e-04,-4.164503399999999820e-05,1.188208240000000049e-04
CSi,1.985291808999999942e-03,-1.745094799999999987e-04,3.183101869999999914e-04,-4.243003699999999987e-05,1.196642069999999977e-04
CSo,-2.026318700000000051e-05,2.388403999999999977e-06,-1.457748000000000091e-06,7.850029999999999785e-07,-8.433830000000000023e-07
E,7.359936451500000143e-02,1.195536940220000011e-01,1.417942273320000057e-01,1.356685369769999872e-01,1.275927343499999866e-01
FC_AoA_,-5.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.417173599999999922e+01
FC_Cref_,1.193975999999999926e+00
FC_Mach_,1.499999999999999944e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,3.870000000000000000e+06
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.619368700000000061e+01
FC_Vinf_,5.100000000000000000e+01
FC_Xcg_,1.785187999999999997e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,-0.000000000000000000e+00
FC_Zcg_,7.542510000000000048e-01
L/D,8.134891118647999519e+00,1.036670322729499993e+01,1.120719880962299975e+01,1.092629286293600011e+01,1.059124366528400074e+01
Mach,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01,1.499999999999999944e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History
Results_Timestamp,1749672324
Results_Date,6,11,2025
Results_Time,16,5,24
Alpha,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,6.851654167000000191e-03,6.647722473999999847e-03,8.027862896000000081e-03,7.437019058000000210e-03,7.178527191999999751e-03
CDo,1.057376700399999953e-02,1.082494468299999985e-02,1.089037956200000073e-02,1.086413540300000015e-02,1.087353496699999984e-02
CDt,1.030299189900000037e-02,9.238845509999999567e-03,8.389171435000000385e-03,7.678167855999999680e-03,1.001054689600000026e-02
CDtot,1.742542117099999885e-02,1.747266715700000056e-02,1.891824245800000082e-02,1.830115445999999993e-02,1.805206215900000133e-02
CDtott,2.087675890200000120e-02,2.006379019299999941e-02,1.927955099699999938e-02,1.854230325799999940e-02,2.088408186300000011e-02
CFx,3.269149093600000333e-02,3.698942968099999673e-02,3.801304721100000339e-02,3.765200745399999854e-02,3.740957765899999982e-02
CFxi,2.208720403399999990e-02,2.613743513199999827e-02,2.709403512199999933e-02,2.676004235499999939e-02,2.650846961499999863e-02
