Results_Name,VSPAERO_History
Results_Timestamp,1762141368
Results_Date,11,2,2025
Results_Time,22,42,48
Alpha,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+01
AnalysisMethod,0
Beta,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01
CDi,3.637526293099999780e-02,3.548322529299999945e-02,3.545713467199999858e-02,3.578776883800000030e-02,3.642793700199999790e-02
CDo,1.585982863299999907e-02,1.579825140000000114e-02,1.578438294999999839e-02,1.582360199499999870e-02,1.589288556500000060e-02
CDt,4.297029585199999696e-02,4.329004831500000289e-02,3.911903462599999881e-02,3.388403512100000153e-02,3.847222558800000164e-02
CDtot,5.223509156399999687e-02,5.128147669299999711e-02,5.124151762100000174e-02,5.161137083299999900e-02,5.232082256699999850e-02
CDtott,5.883012448500000297e-02,5.908829971500000056e-02,5.490341757500000197e-02,4.970763711600000023e-02,5.436511115300000224e-02
CFx,-1.385600708049999907e-01,-1.381385795379999892e-01,-1.379540347240000020e-01,-1.385097023730000043e-01,-1.386399467820000064e-01
CFxi,-1.545138035149999922e-01,-1.540291722759999926e-01,-1.538291596309999953e-01,-1.544152859659999877e-01,-1.546250297020000108e-01
CFxo,1.595373271000000148e-02,1.589059273799999991e-02,1.587512490600000159e-02,1.590558359300000071e-02,1.598508292099999964e-02
CFy,2.327572856899999890e-02,2.177294214600000027e-02,2.232668008000000121e-02,2.405619143999999932e-02,2.357416416699999878e-02
CFyi,2.083968083400000032e-02,1.934484995400000129e-02,1.989901768900000090e-02,2.157764966799999989e-02,2.112748579399999910e-02
CFyo,2.436047735999999873e-03,2.428092191999999851e-03,2.427662391999999870e-03,2.478541771999999855e-03,2.446678373000000118e-03
CFz,1.067628797393999962e+00,1.061188004256000017e+00,1.059345453351999922e+00,1.062903366216999990e+00,1.068280078489999951e+00
CFzi,1.067838465881999932e+00,1.061391589462000073e+00,1.059541976970999944e+00,1.063094956273999969e+00,1.068485033480000013e+00
CFzo,-2.096684879999999871e-04,-2.035852059999999865e-04,-1.965236190000000088e-04,-1.915900569999999894e-04,-2.049549900000000046e-04
CL,1.075469820806000065e+00,1.069053686598000041e+00,1.067207082311000033e+00,1.070807433159999933e+00,1.076125077794999996e+00
